genestableid,gene_name,gene_description,disagreement,prob_equal_ortho_adj,similarity
"ENSMUSG00000000001","gnai3","guanine nucleotide binding protein g protein alpha inhibiting 3",.9291351,.6885065,"Same"
"ENSMUSG00000000028","cdc45","cell division cycle 45",.0015761,.9650449,"Same"
"ENSMUSG00000000037","scml2","scm polycomb group protein like 2",.8395636,.7526156,"Same"
"ENSMUSG00000000056","narf","nuclear prelamin a recognition factor",.3324493,.7733194,"Same"
"ENSMUSG00000000058","cav2","caveolin 2",.4545272,.8576186,"Same"
"ENSMUSG00000000078","klf6","kruppel like factor 6",1.223015,.0483973,"Different"
"ENSMUSG00000000088","cox5a","cytochrome c oxidase subunit 5a",1.779932,.1558552,"Same"
"ENSMUSG00000000093","tbx2","t box 2",1.483182,.3021337,"Same"
"ENSMUSG00000000120","ngfr","nerve growth factor receptor tnfr superfamily member 16 ",.2229735,.9112987,"Same"
"ENSMUSG00000000127","fer","fer fms/fps related protein kinase",1.725177,.2209948,"Same"
"ENSMUSG00000000134","tfe3","transcription factor e3",.7506185,.7534272,"Same"
"ENSMUSG00000000142","axin2","axin 2",.0074965,.9592049,"Same"
"ENSMUSG00000000149","gna12","guanine nucleotide binding protein alpha 12",1.165132,.0008974,"Different"
"ENSMUSG00000000168","dlat","dihydrolipoamide s acetyltransferase e2 component of pyruvate dehydrogenase complex ",1.318647,.1901426,"Same"
"ENSMUSG00000000184","ccnd2","cyclin d2",1.385085,.1602977,"Same"
"ENSMUSG00000000197","nalcn","sodium leak channel non selective",.02473,.9592049,"Same"
"ENSMUSG00000000202","btbd17","btb poz domain containing 17",1.340146,.0362761,"Different"
"ENSMUSG00000000223","drp2","dystrophin related protein 2",.5479487,.7229138,"Same"
"ENSMUSG00000000247","lhx2","lim homeobox protein 2",1.625265,.0480478,"Different"
"ENSMUSG00000000253","gmpr","guanosine monophosphate reductase",.0019817,.9592049,"Same"
"ENSMUSG00000000275","trim25","tripartite motif containing 25",1.619097,.0972622,"Same"
"ENSMUSG00000000276","dgke","diacylglycerol kinase epsilon",.3822835,.8788714,"Same"
"ENSMUSG00000000278","scpep1","serine carboxypeptidase 1",1.305358,.0033495,"Different"
"ENSMUSG00000000295","hddc2","hd domain containing 2",1.210691,.0003543,"Different"
"ENSMUSG00000000296","tpd52l1","tumor protein d52 like 1",.1008449,.9432155,"Same"
